iso3c,country,emptying_method,population_2017,population_emptying_method,count_pits_septics,emptying_demand,urban_demand,rural_demand
ATG,Antigua and Barbuda,mechanized,102011.99457736852,0,0,0,NA,NA
ARG,Argentina,mechanized,43937140,10822508.685233718,3266830.288381726,0.2463180053420345,1,0
ABW,Aruba,mechanized,NA,0,0,NA,NA,NA
BHS,Bahamas,mechanized,395360.9967382175,0,0,0,NA,NA
BRB,Barbados,mechanized,285718.9999223408,0,0,0,NA,NA
BLZ,Belize,mechanized,374680.971938832,210285.02912990074,53988.59854296238,0.5612375457492688,0.46459414787554243,0.5354058521244576
BOL,Bolivia (Plurinational State of),mechanized,11051597.304626657,1661531.4733779854,401711.12084082,0.15034310675456836,0.8100044730930269,0.18999552690697302
BRA,Brazil,mechanized,209288304.06109858,32631257.955235206,9820971.583725944,0.15591534415467861,0.7135532781338523,0.2864467218661477
VGB,British Virgin Islands,mechanized,NA,0,0,NA,NA,NA
CYM,Cayman Islands,mechanized,NA,0,0,NA,NA,NA
CHL,Chile,mechanized,18054734.725888643,1553586.1094708613,434396.3378900322,0.0860486810278734,0.1429202055584823,0.8570797944415177
COL,Colombia,mechanized,49065610.7595189,4531973.50502492,1241275.0847071712,0.09236557814875873,0.34392547603500695,0.6560745239649931
CRI,Costa Rica,mechanized,4905768.67560216,2765399.8411777243,796212.9031379587,0.5637036770467544,0.7429909161382556,0.25700908386174426
CUB,Cuba,mechanized,11484635.673065167,2953794.124518211,923965.9573254564,0.257195283211789,0.6911026285827068,0.3088973714172932
CUW,Curaçao,mechanized,160538.9906368221,0,0,0,NA,NA
DMA,Dominica,mechanized,NA,0,0,NA,NA,NA
DOM,Dominican Republic,mechanized,10766998.632462569,4692927.406928659,1244049.9810998815,0.43586217172717506,0.8112259990105545,0.1887740009894454
ECU,Ecuador,mechanized,16624857.793386139,3261613.1940138694,808174.9012798275,0.19618893794757364,0.3663187156595065,0.6336812843404935
SLV,El Salvador,mechanized,6377854.293358549,2392499.117661855,539932.2698495092,0.37512602320708965,0.5807097055062111,0.4192902944937888
FLK,Falkland Islands (Malvinas),mechanized,2910.0001199999997,0,0,0,NA,NA
GUF,French Guiana,mechanized,282731.0225627962,0,0,0,NA,NA
GRD,Grenada,mechanized,107824.99244992007,0,0,0,NA,NA
GLP,Guadeloupe,mechanized,449567.97697265766,0,0,0,NA,NA
GTM,Guatemala,mechanized,16913510.41842676,3287338.884338434,608837.1078245048,0.1943617145709135,0.33654687048239645,0.6634531295176036
GUY,Guyana,mechanized,777858.9824454173,356045.9521861401,87387.99977083367,0.45772557779921763,0.3385050805514349,0.661494919448565
HTI,Haiti,mechanized,10981230.415554462,1108901.3295507315,177165.78939552125,0.10098151915472225,0.6655253032335624,0.33447469676643754
HND,Honduras,mechanized,9265068.093262706,3025638.6032969155,634222.8483760055,0.32656409783939677,0.3620254722275487,0.6379745277724513
JAM,Jamaica,mechanized,2890298.553790563,1353109.1218655272,407613.52458996815,0.46815548521482475,0.5245003184646738,0.4754996815353261
MTQ,Martinique,mechanized,384895.9655102225,0,0,0,NA,NA
MEX,Mexico,mechanized,129163259.24036303,16139467.014178075,4068821.994154878,0.12495400866390148,0.3992748209363982,0.6007251790636018
MSR,Montserrat,mechanized,NA,0,0,NA,NA,NA
NIC,Nicaragua,mechanized,6217579.051386828,1676930.2774634943,324907.5205723064,0.26970791422257123,0.7500353915376645,0.24996460846233554
PAN,Panama,mechanized,4098587.5044567515,1459963.9306050944,378840.5036318729,0.3562114823747324,0.612729024224323,0.387270975775677
PRY,Paraguay,mechanized,6811297.743692834,4031692.2267331006,849590.9289732755,0.5919124928089351,0.6345906907687657,0.3654093092312344
PER,Peru,mechanized,32165465.93273383,2653134.6156886173,659564.0056136415,0.08248394788488364,0.4015584047276181,0.5984415952723819
PRI,Puerto Rico,mechanized,3663130.8220668593,0,0,0,NA,NA
KNA,Saint Kitts and Nevis,mechanized,NA,0,0,NA,NA,NA
LCA,Saint Lucia,mechanized,178844.00866326594,121133.80209479158,30757.477450333594,0.6773154046377183,0.1743275763392581,0.8256724236607419
VCT,Saint Vincent and the Grenadines,mechanized,109897.00021055054,0,0,0,NA,NA
SXM,Sint Maarten (Dutch part),mechanized,40120.0040619437,0,0,0,NA,NA
SUR,Suriname,mechanized,563401.9925899322,313987.4372124729,74000.17197012283,0.557306224227372,0.7566015903476061,0.24339840965239382
TTO,Trinidad and Tobago,mechanized,1369124.962115212,0,0,0,NA,NA
